StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2026-01-06 15:13:40;2026-01-06 15:13:40;2026-01-06 15:13:40;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:40;2026-01-06 15:13:41;00:00:01;00:00:01;1;2;0;0;1;2;2;2;1;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;1;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:41;2026-01-06 15:13:42;00:00:01;00:00:02;1;1.49925;0;0;1;3;1;1.49925;1;1.49925;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;2;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:42;2026-01-06 15:13:43;00:00:01;00:00:03;1;1.33289;0;0;1;4;1;1.33289;1;1.33289;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;3;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:43;2026-01-06 15:13:44;00:00:01;00:00:04;1;1.24938;0;0;1;5;1;1.24938;1;1.24938;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;4;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:44;2026-01-06 15:13:45;00:00:01;00:00:05;1;1.19952;0;0;1;6;1;1.19952;1;1.19952;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;5;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:45;2026-01-06 15:13:46;00:00:01;00:00:06;1;1.16608;0;0;1;7;1;1.16608;1;1.16608;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;6;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:46;2026-01-06 15:13:47;00:00:01;00:00:07;1;1.14237;0;0;1;8;1;1.14237;1;1.14237;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;7;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:47;2026-01-06 15:13:48;00:00:01;00:00:08;1;1.12458;0;0;1;9;1;1.12458;1;1.12458;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;8;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:48;2026-01-06 15:13:49;00:00:01;00:00:09;1;1.11062;0;0;1;10;1;1.11062;1;1.11062;0;0;0;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;9;0;0;0;0;0;0;
2026-01-06 15:13:40;2026-01-06 15:13:49;2026-01-06 15:13:50;00:00:00;00:00:09;1.66667;1.14524;0;0;1;11;1.66667;1.14524;1.66667;1.14524;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;10;0;0;0;0;0;0;
