StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);CER received(P);CER received(C);CER sent(P);CER sent(C);CEA received(P);CEA received(C);CEA sent(P);CEA sent(C);UAR received(P);UAR received(C);UAR sent(P);UAR sent(C);UAA received(P);UAA received(C);UAA sent(P);UAA sent(C);SAR received(P);SAR received(C);SAR sent(P);SAR sent(C);SAA received(P);SAA received(C);SAA sent(P);SAA sent(C);LIR received(P);LIR received(C);LIR sent(P);LIR sent(C);LIA received(P);LIA received(C);LIA sent(P);LIA sent(C);MAR received(P);MAR received(C);MAR sent(P);MAR sent(C);MAA received(P);MAA received(C);MAA sent(P);MAA sent(C);RTR received(P);RTR received(C);RTR sent(P);RTR sent(C);RTA received(P);RTA received(C);RTA sent(P);RTA sent(C);PPR received(P);PPR received(C);PPR sent(P);PPR sent(C);PPA received(P);PPA received(C);PPA sent(P);PPA sent(C);CCR received(P);CCR received(C);CCR sent(P);CCR sent(C);CCA received(P);CCA received(C);CCA sent(P);CCA sent(C);User-Name received(P);User-Name received(C);User-Name sent(P);User-Name sent(C);Host-IP-Address received(P);Host-IP-Address received(C);Host-IP-Address sent(P);Host-IP-Address sent(C);Auth-Application-Id received(P);Auth-Application-Id received(C);Auth-Application-Id sent(P);Auth-Application-Id sent(C);Acct-Application-Id received(P);Acct-Application-Id received(C);Acct-Application-Id sent(P);Acct-Application-Id sent(C);Vendor-Specific-Application-Id received(P);Vendor-Specific-Application-Id received(C);Vendor-Specific-Application-Id sent(P);Vendor-Specific-Application-Id sent(C);Session-Id received(P);Session-Id received(C);Session-Id sent(P);Session-Id sent(C);Origin-Host received(P);Origin-Host received(C);Origin-Host sent(P);Origin-Host sent(C);Supported-Vendor-Id received(P);Supported-Vendor-Id received(C);Supported-Vendor-Id sent(P);Supported-Vendor-Id sent(C);Vendor-Id received(P);Vendor-Id received(C);Vendor-Id sent(P);Vendor-Id sent(C);Firmware-Revision received(P);Firmware-Revision received(C);Firmware-Revision sent(P);Firmware-Revision sent(C);Result-Code received(P);Result-Code received(C);Result-Code sent(P);Result-Code sent(C);Product-Name received(P);Product-Name received(C);Product-Name sent(P);Product-Name sent(C);Auth-Session-State received(P);Auth-Session-State received(C);Auth-Session-State sent(P);Auth-Session-State sent(C);Origin-State-Id received(P);Origin-State-Id received(C);Origin-State-Id sent(P);Origin-State-Id sent(C);Destination-Realm received(P);Destination-Realm received(C);Destination-Realm sent(P);Destination-Realm sent(C);Destination-Host received(P);Destination-Host received(C);Destination-Host sent(P);Destination-Host sent(C);Origin-Realm received(P);Origin-Realm received(C);Origin-Realm sent(P);Origin-Realm sent(C);Experimental-Result received(P);Experimental-Result received(C);Experimental-Result sent(P);Experimental-Result sent(C);Experimental-Result-Code received(P);Experimental-Result-Code received(C);Experimental-Result-Code sent(P);Experimental-Result-Code sent(C);Visited-Network-Identifier received(P);Visited-Network-Identifier received(C);Visited-Network-Identifier sent(P);Visited-Network-Identifier sent(C);Public-Identity received(P);Public-Identity received(C);Public-Identity sent(P);Public-Identity sent(C);Server-Name received(P);Server-Name received(C);Server-Name sent(P);Server-Name sent(C);Server-Assignment-Type received(P);Server-Assignment-Type received(C);Server-Assignment-Type sent(P);Server-Assignment-Type sent(C);User-Authorization-Type received(P);User-Authorization-Type received(C);User-Authorization-Type sent(P);User-Authorization-Type sent(C);User-Data-Request-Type received(P);User-Data-Request-Type received(C);User-Data-Request-Type sent(P);User-Data-Request-Type sent(C);User-Data-Already-Available received(P);User-Data-Already-Available received(C);User-Data-Already-Available sent(P);User-Data-Already-Available sent(C);Service-Context-Id received(P);Service-Context-Id received(C);Service-Context-Id sent(P);Service-Context-Id sent(C);CC-Request-Type received(P);CC-Request-Type received(C);CC-Request-Type sent(P);CC-Request-Type sent(C);CC-Request-Number received(P);CC-Request-Number received(C);CC-Request-Number sent(P);CC-Request-Number sent(C);n480 received(P);n480 received(C);n480 sent(P);n480 sent(C);n606 received(P);n606 received(C);n606 sent(P);n606 sent(C);n612 received(P);n612 received(C);n612 sent(P);n612 sent(C);n617 received(P);n617 received(C);n617 sent(P);n617 sent(C);n513 received(P);n513 received(C);n513 sent(P);n513 sent(C);n514 received(P);n514 received(C);n514 sent(P);n514 sent(C);
2025-12-15 11:39:02;2025-12-15 11:39:02;2025-12-15 11:39:02;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:02;2025-12-15 11:39:07;00:00:05;00:00:05;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;1;1;1;1;4;4;2;2;4;4;2;2;3;3;2;2;2;2;2;2;3;3;3;3;1;1;0;0;4;4;3;3;1;1;1;1;0;0;3;3;1;1;1;1;2;2;2;2;1;1;0;0;2;2;0;0;2;2;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;6;6;0;0;4;4;0;0;4;4;0;0;6;6;0;0;2;2;0;0;2;2;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:07;2025-12-15 11:39:12;00:00:05;00:00:10;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;0;0;0;5;7;0;0;0;0;0;1;0;1;5;9;5;7;5;9;5;7;5;8;5;7;5;7;5;7;5;8;5;8;0;1;0;0;5;9;5;8;0;1;0;1;0;0;5;8;0;1;0;1;5;7;5;7;0;1;0;0;5;7;0;0;5;7;0;0;5;8;5;8;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;0;5;7;5;7;5;7;0;0;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;5;7;0;0;5;7;0;0;15;21;0;0;10;14;0;0;10;14;0;0;15;21;0;0;5;7;0;0;5;7;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:12;2025-12-15 11:39:17;00:00:05;00:00:15;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;0;0;0;0;5;12;0;0;0;0;0;1;0;1;5;14;5;12;5;14;5;12;5;13;5;12;5;12;5;12;5;13;5;13;0;1;0;0;5;14;5;13;0;1;0;1;0;0;5;13;0;1;0;1;5;12;5;12;0;1;0;0;5;12;0;0;5;12;0;0;5;13;5;13;0;0;0;0;0;0;0;0;0;0;0;0;5;12;0;0;5;12;5;12;5;12;0;0;0;0;0;0;5;12;0;0;0;0;0;0;0;0;0;0;5;12;0;0;5;12;0;0;15;36;0;0;10;24;0;0;10;24;0;0;15;36;0;0;5;12;0;0;5;12;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:17;2025-12-15 11:39:22;00:00:05;00:00:20;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;17;0;0;0;0;5;17;0;0;0;0;0;1;0;1;5;19;5;17;5;19;5;17;5;18;5;17;5;17;5;17;5;18;5;18;0;1;0;0;5;19;5;18;0;1;0;1;0;0;5;18;0;1;0;1;5;17;5;17;0;1;0;0;5;17;0;0;5;17;0;0;5;18;5;18;0;0;0;0;0;0;0;0;0;0;0;0;5;17;0;0;5;17;5;17;5;17;0;0;0;0;0;0;5;17;0;0;0;0;0;0;0;0;0;0;5;17;0;0;5;17;0;0;15;51;0;0;10;34;0;0;10;34;0;0;15;51;0;0;5;17;0;0;5;17;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:22;2025-12-15 11:39:27;00:00:05;00:00:25;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;22;0;0;0;0;5;22;0;0;0;0;0;1;0;1;5;24;5;22;5;24;5;22;5;23;5;22;5;22;5;22;5;23;5;23;0;1;0;0;5;24;5;23;0;1;0;1;0;0;5;23;0;1;0;1;5;22;5;22;0;1;0;0;5;22;0;0;5;22;0;0;5;23;5;23;0;0;0;0;0;0;0;0;0;0;0;0;5;22;0;0;5;22;5;22;5;22;0;0;0;0;0;0;5;22;0;0;0;0;0;0;0;0;0;0;5;22;0;0;5;22;0;0;15;66;0;0;10;44;0;0;10;44;0;0;15;66;0;0;5;22;0;0;5;22;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:27;2025-12-15 11:39:32;00:00:05;00:00:30;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;27;0;0;0;0;5;27;0;0;0;0;0;1;0;1;5;29;5;27;5;29;5;27;5;28;5;27;5;27;5;27;5;28;5;28;0;1;0;0;5;29;5;28;0;1;0;1;0;0;5;28;0;1;0;1;5;27;5;27;0;1;0;0;5;27;0;0;5;27;0;0;5;28;5;28;0;0;0;0;0;0;0;0;0;0;0;0;5;27;0;0;5;27;5;27;5;27;0;0;0;0;0;0;5;27;0;0;0;0;0;0;0;0;0;0;5;27;0;0;5;27;0;0;15;81;0;0;10;54;0;0;10;54;0;0;15;81;0;0;5;27;0;0;5;27;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:32;2025-12-15 11:39:37;00:00:05;00:00:35;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;32;0;0;0;0;5;32;0;0;0;0;0;1;0;1;5;34;5;32;5;34;5;32;5;33;5;32;5;32;5;32;5;33;5;33;0;1;0;0;5;34;5;33;0;1;0;1;0;0;5;33;0;1;0;1;5;32;5;32;0;1;0;0;5;32;0;0;5;32;0;0;5;33;5;33;0;0;0;0;0;0;0;0;0;0;0;0;5;32;0;0;5;32;5;32;5;32;0;0;0;0;0;0;5;32;0;0;0;0;0;0;0;0;0;0;5;32;0;0;5;32;0;0;15;96;0;0;10;64;0;0;10;64;0;0;15;96;0;0;5;32;0;0;5;32;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:37;2025-12-15 11:39:42;00:00:05;00:00:40;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;37;0;0;0;0;5;37;0;0;0;0;0;1;0;1;5;39;5;37;5;39;5;37;5;38;5;37;5;37;5;37;5;38;5;38;0;1;0;0;5;39;5;38;0;1;0;1;0;0;5;38;0;1;0;1;5;37;5;37;0;1;0;0;5;37;0;0;5;37;0;0;5;38;5;38;0;0;0;0;0;0;0;0;0;0;0;0;5;37;0;0;5;37;5;37;5;37;0;0;0;0;0;0;5;37;0;0;0;0;0;0;0;0;0;0;5;37;0;0;5;37;0;0;15;111;0;0;10;74;0;0;10;74;0;0;15;111;0;0;5;37;0;0;5;37;0;0;
2025-12-15 11:39:02;2025-12-15 11:39:42;2025-12-15 11:39:47;00:00:05;00:00:45;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;42;0;0;0;0;5;42;0;0;0;0;0;1;0;1;5;44;5;42;5;44;5;42;5;43;5;42;5;42;5;42;5;43;5;43;0;1;0;0;5;44;5;43;0;1;0;1;0;0;5;43;0;1;0;1;5;42;5;42;0;1;0;0;5;42;0;0;5;42;0;0;5;43;5;43;0;0;0;0;0;0;0;0;0;0;0;0;5;42;0;0;5;42;5;42;5;42;0;0;0;0;0;0;5;42;0;0;0;0;0;0;0;0;0;0;5;42;0;0;5;42;0;0;15;126;0;0;10;84;0;0;10;84;0;0;15;126;0;0;5;42;0;0;5;42;0;0;
